종목코드,기업명,ROE,ROA,GPM,OPM,NPM,EBITDA,부채비율,유동비율,당좌비율,자기자본비율,매출액증가율,영업이익증가율,EPS증가율,BPS증가율,재고자산회전율,총자산회전율,PER,PBR,PSR,PCR,EV/EBITDA,GP/A,OCF,FCF,주가,시가총액
000890,보해양조,3.87,2.38,0.0,4.24,3.88,38.12,62.43,121.05,121.05,61.56,2.57,65.7,0.0,0.0,89878693356.0,0.6133,17.6,0.0,0.6765,0.0,30.72,0.0,0.0,0.0,440,60800000000
0008Z0,에스엔시스,10.45,7.76,0.0,12.28,12.49,177.39,34.66,289.04,289.04,74.26,4.56,14.61,0.0,0.0,144425340172.0,0.6211,15.63,0.0,2.215,0.0,21.41,0.0,0.0,0.0,33900,319900000000
000910,유니온,19.73,7.67,0.0,2.72,12.63,54.99,157.34,72.11,72.11,38.86,-7.22,148.0,0.0,0.0,202400732520.0,0.6071,3.02,0.0,0.3488,0.0,49.91,0.0,0.0,0.0,4520,70600000000
000950,전방,13.1,12.56,0.0,-17.94,73.1,-73.15,4.34,4307.11,4307.11,95.84,-28.76,13.77,0.0,0.0,40776455996.0,0.1718,1.89,0.0,1.3832,0.0,0.0,0.0,0.0,0.0,33550,56400000000
000970,한국주철관공업,4.68,3.93,0.0,3.27,4.21,132.96,19.26,452.51,452.51,83.85,-3.05,-13.92,0.0,0.0,406620008497.0,0.9334,9.68,0.0,0.4038,0.0,17.64,0.0,0.0,0.0,7200,164200000000
000990,DB하이텍,11.26,8.44,0.0,19.85,18.08,2772.95,33.36,247.88,247.88,74.99,23.52,45.3,0.0,0.0,1397233307039.0,0.4669,18.49,0.0,3.3284,0.0,19.47,0.0,0.0,0.0,106900,4650600000000
0009K0,에임드바이오,2.61,2.52,0.0,43.93,10.61,207.69,3.32,3143.34,3143.34,96.79,302.02,5193.41,0.0,0.0,47278353425.0,0.2376,550.0,0.0,69.2156,0.0,157.87,0.0,0.0,0.0,50600,3272400000000
001000,신라섬유,0.5,0.23,0.0,13.59,2.0,4.88,112.36,4.39,4.39,47.09,-2.15,17.0,0.0,0.0,3590565852.0,0.1168,662.67,0.0,13.4519,0.0,132.35,0.0,0.0,0.0,1988,48300000000
001020,페이퍼코리아,-7.33,-4.12,0.0,-1.98,-7.25,-52.79,77.91,159.88,159.88,56.21,-8.1,-359.08,0.0,0.0,266668528958.0,0.5684,0.0,0.0,0.4571,0.0,0.0,0.0,0.0,0.0,685,121900000000
001040,CJ,0.84,0.3,0.0,5.61,0.32,25277.38,176.0,76.67,76.67,36.23,3.14,-0.18,0.0,0.0,45018829227000.0,0.9585,53.37,0.0,0.139,0.0,14.32,0.0,0.0,0.0,214500,6258500000000
001060,JW중외제약,16.65,10.16,0.0,12.18,7.93,944.61,63.87,141.76,141.76,61.03,7.77,14.51,0.0,0.0,775298057923.0,1.2809,12.73,0.0,0.9445,0.0,10.25,0.0,0.0,0.0,31450,732300000000
